index,timestamp,metric_value,checks
1,0.0,52.824016,1.0
15,0.0,54.583057,1.0
29,0.0,55.023288,1.0
43,0.0,59.986429,1.0
57,0.0,56.551377,1.0
71,0.0,55.244522,1.0
85,0.0,53.361629,1.0
99,0.0,58.914527,1.0
113,0.0,57.468407,1.0
127,0.0,53.659925,1.0
141,0.0,55.654185,1.0
155,0.0,55.705816,1.0
169,0.0,54.40024,1.0
183,0.0,55.00366,1.0
197,1.0,53.555801,1.0
211,1.0,54.936073,1.0
225,1.0,53.089343,1.0
241,1.0,53.446573,1.0
255,1.0,52.002609,1.0
269,1.0,54.497751,1.0
283,1.0,51.668851,1.0
297,1.0,51.270464,1.0
311,1.0,52.351991,1.0
325,1.0,57.061491,1.0
339,1.0,54.944131,1.0
353,1.0,52.712157,1.0
367,1.0,52.727636,1.0
381,1.0,52.725134,1.0
395,1.0,53.286602,1.0
409,1.0,54.666946,1.0
423,1.0,54.065231,1.0
437,1.0,52.158218,1.0
451,1.0,52.417076,1.0
465,2.0,55.818389,1.0
479,2.0,58.181227,1.0
493,2.0,52.362524,1.0
509,2.0,53.405451,1.0
523,2.0,51.598633,1.0
537,2.0,52.731272,1.0
551,2.0,58.346403,1.0
565,2.0,114.921295,1.0
579,2.0,70.561283,1.0
593,2.0,52.937408,1.0
607,2.0,54.486861,1.0
621,2.0,52.614433,1.0
635,2.0,52.004654,1.0
649,2.0,52.925951,1.0
663,2.0,51.968733,1.0
677,2.0,51.254042,1.0
691,2.0,51.21026,1.0
705,3.0,61.417178,1.0
719,3.0,54.25839,1.0
735,3.0,51.747597,1.0
749,3.0,52.615294,1.0
763,3.0,51.42445,1.0
777,3.0,51.428173,1.0
791,3.0,52.281966,1.0
805,3.0,50.965329,1.0
819,3.0,49.904777,1.0
833,3.0,52.095013,1.0
847,3.0,52.522832,1.0
861,3.0,51.75217,1.0
875,3.0,51.159968,1.0
889,3.0,52.518292,1.0
903,3.0,53.417938,1.0
917,3.0,53.737785,1.0
931,3.0,57.40224,1.0
945,3.0,51.844038,1.0
959,3.0,52.00043,1.0
973,4.0,55.216283,1.0
987,4.0,52.212535,1.0
1001,4.0,64.409064,1.0
1017,4.0,59.144567,1.0
1031,4.0,52.205873,1.0
1045,4.0,52.843407,1.0
1059,4.0,53.556238,1.0
1073,4.0,53.320544,1.0
1087,4.0,54.412065,1.0
1101,4.0,55.385495,1.0
1115,4.0,51.671639,1.0
